internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
133159,Astrea devantieri,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Astrea,devantieri,,,,,"(Veron, 2002)","<span style=""background-color: rgb(255, 255, 0);"">&#160;this assessment to change to A. rotulosa - it is valid in Worms. devantieri should be considered a synonym, rotulosa was previously referred to as devantieri but rotulosa has been resurrrected and is now the valid name for this species<br/></span><br/><span style=""background-color: white;"">According to Veron <em>et al</em>. (2016), this species is a synonym of <em>Astrea rotulosa</em>. According to Huang <em>et al</em>. (2014), it is a valid sister species of <em>A. rotulosa</em>. It is accepted in the WoRMS online database (accessed February 2023).&#160;The name <em>A. devantieri</em> is a synonym of <em>A. rotulosa</em> (D. Huang pers. comm. 2023).</span>"
133475,Acropora pagoensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,pagoensis,,,,,"Hoffmeister, 1925","<span style=""background-color: rgb(255, 255, 0);"">Attention RLU: This species is now considered a synonym of&#160;</span><span style=""background-color: rgb(255, 255, 0);""><em>Acropora eurystoma</em></span><span style=""background-color: rgb(255, 255, 0);"">. For reference please see WoRMS:&#160;<a href=""http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=411144"">http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=411144</a></span><span style=""background-color: rgb(255, 255, 0);"">.&#160;</span><span style=""background-color: rgb(255, 255, 0);"">C. Linardich 4Jan2022</span><br/><br/>This species is likely a synonym of <em>Acropora&#160;</em><em>tenuis</em>&#160;or&#160;<em>A. yongei</em>&#160;(Wallace 1999)."
133578,Favites bestae,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Favites,bestae,,,,,"Veron, 2002","<span style=""background-color: rgb(255, 255, 0);"">Attention RLU: This species is now considered a synonym of&#160;</span><span style=""background-color: rgb(255, 255, 0);""><em>Favites melicerum</em></span><span style=""background-color: rgb(255, 255, 0);"">. For reference please see WoRMS:&#160;<a href=""http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=411194"">http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=411194</a></span><span style=""background-color: rgb(255, 255, 0);"">.&#160;</span><span style=""background-color: rgb(255, 255, 0);"">C. Linardich 4Jan2022</span>"
133580,Montipora hirsuta,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,hirsuta,,,,,"Nemenzo, 1967","<span style=""background-color: rgb(255, 255, 0);"">Attention RLU: This species is now considered a synonym of&#160;</span><span style=""background-color: rgb(255, 255, 0);""><em>Montipora carinata</em></span><span style=""background-color: rgb(255, 255, 0);"">. For reference please see WoRMS:&#160;<a href=""http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=287711"">http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=287711</a></span><span style=""background-color: rgb(255, 255, 0);"">.&#160;</span><span style=""background-color: rgb(255, 255, 0);"">C. Linardich 5Jan2022</span>"
133631,Erythrastrea flabellata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Erythrastrea,flabellata,,,,,"Scheer &amp; Pillai, 1983","<span style=""background-color: white;"">This species is an objective synonym of <em style="""">Lobophyllia wellsi</em>, which has been transferred to <em style="""">Oulophyllia </em>following integrative morpho-molecular analyses (Arrigoni <em style="""">et al.</em> 2021).</span>"
133678,Acropora copiosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,copiosa,,,,,"Nemenzo, 1967",
133692,Parasimplastrea sheppardi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Parasimplastrea,sheppardi,,,,,"Veron, 2002","According to Benzoni <em>et al</em>. (2014), the neotype of <em>Parasimplastrea sheppardi </em>Veron, 2000 (as designated by Veron 2002) is actually a specimen of <em>Blastomussa loyae</em> Head, 1978. <em>Blastomussa loyae</em>, previously considered an ecomorph of <em>B. merleti </em>(Veron 2000), is now considered a valid species (Kleeman and Baal 2011). As a result, <em>P. sheppardi</em> is a subjective junior synonym of <em>B. loyae</em>&#160;(Benzoni <em>et al</em>. 2014)."
14500,Nematostella vectensis,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,EDWARDSIIDAE,Nematostella,vectensis,,,,,"Stephenson, 1935",
63578,Endopsammia pourtalesi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Endopsammia,pourtalesi,,,,,"(Durham &amp; Barnard, 1952)",
63579,Rhizopsammia wellingtoni,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Rhizopsammia,wellingtoni,,,,,"Wells, 1982",
