acc_id,obs_id,title,species_accepted,genus_accepted,family_accepted,order_accepted,class_accepted,pld_av_comp_effectsize_d,pld_av_comp_effect_sd,pld_av_mort_effectsize_d,pld_av_mort_effect_sd,spawn_mode,biogeog_realm,latmin,latmax,lonmin,lonmax,growth_form,growth_form_cat
A_3181,A_3181,Limited acclimation of early life stages of the coral Seriatopora hystrix from mesophotic depth to shallow reefs,Seriatopora hystrix,Seriatopora,Pocilloporidae,Scleractinia,Hexacorallia,0.5546569,0.04559758,NA,NA,brooding,Central Indo-Pacific,26.621,26.685,127.845,127.879,branching_closed,branching
A_1382,A_1382,Reproductive biology of the deep brooding coral Seriatopora hystrix: Implications for shallow reef recovery,Seriatopora hystrix,Seriatopora,Pocilloporidae,Scleractinia,Hexacorallia,0.9426934,0.06173332,NA,NA,brooding,Central Indo-Pacific,26.67,26.67,127.865,127.865,branching_closed,branching
A_1849,A_1849,UV-A induced delayed development in the larvae of coral Seriatopora caliendrum,Seriatopora caliendrum,Seriatopora,Pocilloporidae,Scleractinia,Hexacorallia,2.058824,0.05882353,NA,NA,brooding,Central Indo-Pacific,21.938,21.938,120.746,120.746,branching_closed,branching
A_3346,A_3346,Effects of Light Pollution on the Early Life Stages of the Most Abundant Northern Red Sea Coral,Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,3.169697,0.08629473,NA,NA,brooding,Western Indo-Pacific,29.502,29.502,34.917,34.917,branching_closed,branching
A_0636,A_0636_02,Assessment of Mesophotic Coral Ecosystem Connectivity for Proposed Expansion of a Marine Sanctuary in the Northwest Gulf of Mexico: Larval Dynamics,Montastraea cavernosa,Montastraea,Montastraeidae,Scleractinia,Hexacorallia,4.4,0.244949,NA,NA,broadcasting,Temperate Northern Atlantic,18,30,-98,-80,massive,domed
A_1347,A_1347_01,The Combined Effects of Increased Temperature and Ocean Acidification on the Early Life History Stages of Caribbean Coral and Its Implications for the Recovery Potential of Florida Reefs,Orbicella faveolata,Orbicella,Merulinidae,Scleractinia,Hexacorallia,5.871148,0.08406141,5.649716,0.02382731,broadcasting,Tropical Atlantic,25.13855,25.13855,-80.29483,-80.29483,massive,domed
A_1969,A_1969_02,The role of variability in the ecology and evolution of corals,Pocillopora damicornis,Pocillopora,Pocilloporidae,Scleractinia,Hexacorallia,5.823902,0.2528553,NA,NA,brooding,Eastern Indo-Pacific,NA,NA,NA,NA,branching_closed,branching
A_1631,A_1631_02,"Physiological and morphological plasticity in Stylophora pistillata larvae from Eilat, Israel, to shallow and mesophotic light conditions",Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,7.285714,2.168105,NA,NA,brooding,Western Indo-Pacific,29.502,29.502,34.917,34.917,branching_closed,branching
A_1631,A_1631_01,"Physiological and morphological plasticity in Stylophora pistillata larvae from Eilat, Israel, to shallow and mesophotic light conditions",Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,7.583851,0.3704495,NA,NA,brooding,Western Indo-Pacific,29.502,29.502,34.917,34.917,branching_closed,branching
A_1969,A_1969_01,The role of variability in the ecology and evolution of corals,Favia fragum,Favia,Faviidae,Scleractinia,Hexacorallia,7.862114,0.1855433,NA,NA,brooding,Tropical Atlantic,NA,NA,NA,NA,massive,domed
