accession_id,included,Title,Authors,Year,DOI,inclusion_summary,passed_screening,screened_fail_stage,full_text_available,passed_inclusion_criteria,criteria_failed,criteria_fail_reason,Database.ID,Source.title,Document.Type,Cited
A_0001,N,Marine connectivity: a new look at pelagic larval duration and genetic metrics of dispersal,"Selkoe, K. A.; Toonen, Robert J.",2011,10.3354/meps09238,excluded_criteria_2,Y,NA,Y,N,2,non_coral_specific,WOS:000294619800021,MARINE ECOLOGY PROGRESS SERIES,Review,338
A_0002,Y,Connectivity of Benthic Priority Marine Species within the Scottish MPA Network.,"Gallego, A.; Gibb, F.M.; Tulett, D.; Wright, P.J.",2013,,included,Y,NA,Y,Y,NA,NA,ZOOREC:ZOOR15107049769,Scottish Marine and Freshwater Science,Article,3
A_0003,N,Connectivity between seamounts and coastal ecosystems in the Southwestern Indian Ocean,"Crochelet, Estelle; Barrier, Nicolas; Andrello, Marco; Marsac, Francis; Spadone, Aurelie; Lett, Christophe",2020,10.1016/j.dsr2.2020.104774,excluded_criteria_2,Y,NA,Y,N,2,non_coral_specific,WOS:000556810400003,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,Article,18
A_0004,N,Theoretical limits to the correlation between pelagic larval duration and population genetic structure,"Faurby, Soren; Barber, Paul H.",2012,10.1111/j.1365-294X.2012.05609.x,excluded_criteria_2,Y,NA,Y,N,2,non_coral_specific,WOS:000306087100006,MOLECULAR ECOLOGY,Article,100
A_0005,N,Larval swimming capacities affect genetic differentiation and range size in demersal marine fishes,"Nanninga, Gerrit B.; Manica, Andrea",2018,10.3354/meps12515,screened_by_title,N,title,NA,NA,NA,NA,WOS:000426258800001,MARINE ECOLOGY PROGRESS SERIES,Article,32
A_0006,N,Pelagic larval duration and population connectivity in New Zealand triplefin fishes (Tripterygiidae),"Kohn, Yair Y.; Clements, Kendall D.",2011,10.1007/s10641-011-9777-3,screened_by_title,N,title,NA,NA,NA,NA,WOS:000291997800003,ENVIRONMENTAL BIOLOGY OF FISHES,Article,26
A_0007,Y,Reproductive Output and Duration of the Pelagic Larval Stage Determine Seascape-Wide Connectivity of Marine Populations,"Treml, Eric A.; Roberts, Jason J.; Chao, Yi; Halpin, Patrick N.; Possingham, Hugh P.; Riginos, Cynthia",2012,10.1093/icb/ics101,included,Y,NA,Y,Y,NA,NA,WOS:000309374400008,INTEGRATIVE AND COMPARATIVE BIOLOGY,Article,213
A_0008,Y,Population genetic structure of the stony coral Acropora tenuis shows high but variable connectivity in East Africa,"van der Ven, Rosa M.; Triest, Ludwig; De Ryck, Dennis J. R.; Mwaura, Jelvas M.; Mohammed, Mohammed S.; Kochzius, Marc",2016,10.1111/jbi.12643,included,Y,NA,Y,Y,NA,NA,WOS:000370450900008,JOURNAL OF BIOGEOGRAPHY,Article,30
A_0009,N,Data from: Stretched to the limit; can a short pelagic larval duration connect adult populations of an Indo-Pacific diadromous fish (Kuhlia rupestris)?,"Feutry, Pierre; Vergnes, Alan; Broderick, Damien; Lambourdiere, Josie; Keith, Philippe; Ovenden, Jennifer R",2012,https://doi.org/10.5061/DRYAD.F81SF,screened_by_title,N,title,NA,NA,NA,NA,DRCI:DATA2015122006949320,Dryad,Data set,1
A_0010,N,Pelagic larval duration is similar across 23A° of latitude for two species of butterflyfish (Chaetodontidae) in eastern Australia,"Booth, D. J.; Parkinson, K.",2011,10.1007/s00338-011-0815-6,screened_by_title,N,title,NA,NA,NA,NA,WOS:000296085300023,CORAL REEFS,Article,18
A_0011,Y,Modeling Larval Connectivity of Coral Reef Organisms in the Kenya-Tanzania Region,"Mayorga-Adame, C. Gabriela; Batchelder, Harold P.; Spitz, Yvette. H.",2017,10.3389/fmars.2017.00092,included,Y,NA,Y,Y,NA,NA,WOS:000457690600092,FRONTIERS IN MARINE SCIENCE,Article,32
A_0012,N,Large scale-variability in otolith microstructure and microchemistry: The case study of Diplodus sargus sargus (Pisces: Sparidae) in the Mediterranean Sea,"Di Franco, A.; De Benedetto, G.; De Rinaldis, G.; Raventos, N.; Sahyoun, R.; Guidetti, P.",2011,10.1080/11250003.2011.566227,screened_by_title,N,title,NA,NA,NA,NA,WOS:000291266000007,ITALIAN JOURNAL OF ZOOLOGY,Article,25
A_0013,Y,"Modeled larval connectivity of a multi-species reef fish and invertebrate assemblage off the coast of Moloka'i, Hawa'i","Conklin, Emily E.; Neuheimer, Anna B.; Toonen, Robert J.",2018,10.7717/peerj.5688,included,Y,NA,Y,Y,NA,NA,WOS:000446948300019,PEERJ,Article,8
A_0014,N,Depth distribution of larvae critically affects their dispersal and the efficiency of marine protected areas,"Corell, Hanna; Moksnes, Per-Olav; Engqvist, Anders; Doos, Kristofer; Jonsson, Per R.",2012,10.3354/meps09963,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000310270500003,MARINE ECOLOGY PROGRESS SERIES,Article,53
A_0015,N,Effects of geography and life history traits on genetic differentiation in benthic marine fishes,"Riginos, Cynthia; Douglas, Kristin E.; Jin, Young; Shanahan, Danielle F.; Treml, Eric A.",2011,10.1111/j.1600-0587.2010.06511.x,screened_by_title,N,title,NA,NA,NA,NA,WOS:000293031700004,ECOGRAPHY,Article,164
A_0016,N,Patterns of variability in early-life traits of fishes depend on spatial scale of analysis,"Di Franco, Antonio; Guidetti, Paolo",2011,10.1098/rsbl.2010.1149,screened_by_title,N,title,NA,NA,NA,NA,WOS:000290515100038,BIOLOGY LETTERS,Article,31
A_0017,N,Stretched to the limit; can a short pelagic larval duration connect adult populations of an Indo-Pacific diadromous fish (Kuhlia rupestris)?,"Feutry, P.; Vergnes, A.; Broderick, D.; Lambourdiere, J.; Keith, P.; Ovenden, J. R.",2013,10.1111/mec.12192,screened_by_title,N,title,NA,NA,NA,NA,WOS:000316209500005,MOLECULAR ECOLOGY,Article,23
A_0018,N,Pelagic larval duration and geographic distribution of tropical eastern Pacific snappers (Pisces: Lutjanidae),"Zapata, FA; Herrón, PA",2002,10.3354/meps230295,screened_by_title,N,title,NA,NA,NA,NA,WOS:000175588600026,MARINE ECOLOGY PROGRESS SERIES,Article,57
A_0019,N,Dongsha Atoll is an important stepping-stone that promotes regional genetic connectivity in the South China Sea,"Liu, Shang Yin Vanson; Green, Jacob; Briggs, Dana; Hastings, Ruth; Jondelius, Ylva; Kensinger, Skylar; Leever, Hannah; Santos, Sophia; Throne, Trevor; Cheng, Chi; Madduppa, Hawis; Toonen, Robert J.; Gaither, Michelle R.; Crandall, Eric D.",2021,10.7717/peerj.12063,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000701694600006,PEERJ,Article,4
A_0020,Y,Coral connectivity between equatorial eastern Pacific marine protected areas: A biophysical modeling approach,"Lequeux, Bertrand D.; Ahumada-Sempoal, Miguel-Angel; Lopez-Perez, Andres; Reyes-Hernandez, Cristobal",2018,10.1371/journal.pone.0202995,included,Y,NA,Y,Y,NA,NA,WOS:000443071400080,PLOS ONE,Article,33
A_0021,Y,"Rare, long-distance dispersal underpins genetic connectivity in the pink sea fan, Eunicella verrucosa","Macleod, Kirsty L.; Jenkins, Tom L.; Witt, Matthew J.; Stevens, Jamie R.",2024,10.1111/eva.13649,included,Y,NA,Y,Y,NA,NA,WOS:001180763900001,EVOLUTIONARY APPLICATIONS,Article,1
A_0023,N,"Pelagic larval duration and settlement size of a reef fish are spatially consistent, but post-settlement growth varies at the reef scale","Leahy, Susannah M.; Russ, Garry R.; Abesamis, Rene A.",2015,10.1007/s00338-015-1330-y,screened_by_title,N,title,NA,NA,NA,NA,WOS:000365177300030,CORAL REEFS,Article,6
A_0024,Y,Quantification of larval traits driving connectivity: the case of Corallium rubrum (L. 1758),"Martinez-Quintana, A.; Bramanti, L.; Viladrich, N.; Rossi, S.; Guizien, K.",2015,10.1007/s00227-014-2599-z,included,Y,NA,Y,Y,NA,NA,WOS:000348564300007,MARINE BIOLOGY,Article,32
A_0025,N,Patterns of variability in early life traits of a Mediterranean coastal fish,"Di Franco, Antonio; Qian, Kaicheng; Calo, Antonio; Di Lorenzo, Manfredi; Planes, Serge; Guidetti, Paolo",2013,10.3354/meps10117,screened_by_title,N,title,NA,NA,NA,NA,WOS:000315465900017,MARINE ECOLOGY PROGRESS SERIES,Article,17
A_0026,N,Larval dispersal in three coral reef decapod species: Influence of larval duration on the metapopulation structure,"Sanvicente-Anorve, Laura; Zavala-Hidalgo, Jorge; Allende-Arandia, Eugenia; Hermoso-Salazar, Margarita",2018,10.1371/journal.pone.0193457,screened_by_title,N,title,NA,NA,NA,NA,WOS:000427901500004,PLOS ONE,Article,18
A_0027,N,"Perspectives on Larval Behaviour in Biophysical Modelling of Larval Dispersal in Marine, Demersal Fishes","Leis, Jeffrey M. M.",2021,10.3390/oceans2010001,screened_by_title,N,title,NA,NA,NA,NA,WOS:001008182200001,OCEANS-SWITZERLAND,Review,17
A_0028,N,Field estimates of planktonic larval duration in a marine invertebrate,"Burgess, Scott C.; Marshall, Dustin J.",2011,10.3354/meps09374,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000296391900013,MARINE ECOLOGY PROGRESS SERIES,Article,18
